,steps,self_finding_steps,prop_selected_correctly,participant,level
545,150,,,10,15
546,92,,,10,16
547,20,,,10,17
548,71,,,10,18
549,179,,,10,19
550,93,,,10,20
551,89,,,10,21
552,71,,,10,22
553,207,,,10,23
554,31,,,10,24
555,167,,,10,25
556,31,,,10,26
557,115,,,10,27
558,13,,,10,28
559,292,,,10,29
560,29,,,10,30
561,45,,,10,31
562,277,,,10,32
563,79,,,10,33
564,31,,,10,34
565,23,,,10,35
566,149,,,10,36
567,43,,,10,37
568,32,,,10,38
569,180,,,10,39
570,33,,,10,40
571,187,,,10,41
572,169,,,10,42
573,58,,,10,43
574,564,,,10,44
575,768,,,10,45
576,19,,,10,46
577,134,,,10,47
578,11,,,10,48
579,126,,,10,49
580,39,,,10,50
581,258,,,10,51
582,132,,,10,52
583,263,,0.0,11,0
584,37,,,11,1
585,17,3.0,1.0,11,2
586,978,3.111111111111111,0.7659574468085106,11,3
587,25,3.0,1.0,11,4
588,13,2.0,1.0,11,5
589,106,2.0,1.0,11,6
590,47,2.0,1.0,11,7
591,15,1.5,1.0,11,8
592,47,,0.0,11,9
593,15,1.0,0.5,11,10
594,19,3.5,1.0,11,11
595,13,5.0,1.0,11,12
596,31,4.5,1.0,11,13
597,33,2.5,1.0,11,14
598,48,2.6666666666666665,1.0,11,15
599,18,4.0,1.0,11,16
600,37,4.0,1.0,11,17
601,23,1.5,1.0,11,18
602,13,5.0,1.0,11,19
603,166,1.6666666666666667,1.0,11,20
604,31,3.3333333333333335,1.0,11,21
605,13,4.0,1.0,11,22
606,37,4.333333333333333,1.0,11,23
607,19,4.0,0.6666666666666666,11,24
608,230,3.25,1.0,11,25
609,48,3.0,1.0,11,26
610,109,,0.0,11,27
611,39,3.0,0.6666666666666666,11,28
612,57,2.0,1.0,11,29
613,67,3.0,1.0,11,30
614,83,2.4,1.0,11,31
615,41,4.0,1.0,11,32
616,39,4.0,1.0,11,33
617,396,2.0,0.5,11,34
618,59,,0.0,11,35
619,704,5.0,0.3333333333333333,11,36
620,1160,4.0,0.2,11,37
621,213,,0.0,11,38
622,288,4.5,1.0,11,39
623,19,,0.0,11,40
624,181,3.0,1.0,11,41
625,1510,5.0,0.6,11,42
626,370,4.0,0.6666666666666666,11,43
