,steps,self_finding_steps,prop_selected_correctly,participant,level
828,28,3.75,0.75,15,33
829,32,5.0,0.375,15,34
830,14,4.0,0.75,15,35
831,41,5.166666666666667,0.5,15,36
832,26,4.25,0.3333333333333333,15,37
833,41,4.5,0.45454545454545453,15,38
834,63,4.444444444444445,0.5333333333333333,15,39
835,298,4.176470588235294,0.7368421052631579,15,40
836,49,4.428571428571429,0.6363636363636364,15,41
837,14,7.0,0.0,15,42
838,59,4.857142857142857,0.6363636363636364,15,43
839,56,5.142857142857143,0.5555555555555556,15,44
840,28,4.5,0.6666666666666666,15,45
841,21,3.0,0.6666666666666666,15,46
842,223,4.954545454545454,0.5,15,47
843,46,7.0,0.0,15,48
844,14,5.5,0.5,15,49
845,57,5.5,0.38461538461538464,15,50
846,47,4.5,0.6666666666666666,15,51
847,28,3.75,0.6,15,52
848,138,,,16,0
849,10,,,16,1
850,58,,,16,2
851,72,,,16,3
852,14,,,16,4
853,14,,,16,5
854,62,,,16,6
855,10,,,16,7
856,26,,,16,8
857,20,,,16,9
858,91,,,16,10
859,12,,,16,11
860,33,,,16,12
861,116,,,16,13
862,58,,,16,14
863,32,,,16,15
864,27,,,16,16
865,22,,,16,17
866,154,,,16,18
867,192,,,16,19
868,79,,,16,20
869,18,,,16,21
870,64,,,16,22
871,45,,,16,23
872,119,,,16,24
873,43,,,16,25
874,86,,,16,26
875,11,,,16,27
876,40,,,16,28
877,215,,,16,29
878,42,,,16,30
879,18,,,16,31
880,47,,,16,32
881,38,,,16,33
882,281,,,16,34
883,121,,,16,35
884,13,,,16,36
885,172,,,16,37
886,748,,,16,38
887,559,,,16,39
888,146,,,16,40
889,53,,,16,41
890,111,,,16,42
891,896,,,16,43
892,135,,,16,44
893,1314,,,16,45
894,372,,,16,46
895,1319,,,16,47
896,470,,,16,48
897,5421,,,16,49
898,160,,,16,50
899,1476,,,16,51
900,132,,,16,52
901,226,4.6,0.6,17,0
902,233,5.0,0.8620689655172413,17,1
903,14,6.0,0.8333333333333334,17,2
904,125,4.6,0.9545454545454546,17,3
905,39,5.333333333333333,1.0,17,4
906,77,4.875,0.8888888888888888,17,5
907,54,4.8,1.0,17,6
908,20,4.333333333333333,0.8,17,7
909,28,4.25,1.0,17,8
910,39,4.4,0.7142857142857143,17,9
911,28,4.0,1.0,17,10
912,42,5.666666666666667,0.9,17,11
913,18,3.6666666666666665,1.0,17,12
914,20,5.333333333333333,1.0,17,13
915,28,5.5,1.0,17,14
916,28,4.75,1.0,17,15
917,20,5.0,0.6,17,16
918,10,3.5,0.5,17,17
919,20,4.333333333333333,1.0,17,18
920,32,4.6,1.0,17,19
921,46,5.285714285714286,0.8571428571428571,17,20
922,14,4.0,1.0,17,21
923,12,4.0,1.0,17,22
924,30,3.75,1.0,17,23
925,28,5.25,1.0,17,24
926,18,4.666666666666667,1.0,17,25
927,38,4.5,1.0,17,26
928,28,5.5,1.0,17,27
929,14,6.0,1.0,17,28
930,20,4.0,1.0,17,29
931,12,4.0,1.0,17,30
932,42,5.0,0.8,17,31
933,12,4.5,1.0,17,32
934,54,4.875,0.8571428571428571,17,33
935,40,4.5,0.8181818181818182,17,34
936,42,4.5,0.875,17,35
937,12,7.0,0.0,17,36
938,27,5.0,0.6,17,37
939,12,5.5,0.6666666666666666,17,38
940,14,6.0,1.0,17,39
941,26,5.75,0.8571428571428571,17,40
942,60,3.5714285714285716,0.875,17,41
943,49,6.142857142857143,0.5384615384615384,17,42
944,24,4.75,0.8333333333333334,17,43
945,20,4.0,1.0,17,44
946,42,5.0,0.8181818181818182,17,45
947,34,5.6,0.8571428571428571,17,46
948,14,4.5,1.0,17,47
949,75,4.4,1.0,17,48
950,81,5.181818181818182,0.7333333333333333,17,49
951,14,4.5,1.0,17,50
952,32,4.8,0.875,17,51
953,82,4.583333333333333,0.7777777777777778,17,52
954,398,0.0,0.5,18,0
955,202,,,18,1
956,223,,,18,2
957,176,,,18,3
958,48,,,18,4
959,55,,,18,5
960,96,,,18,6
961,52,,,18,7
962,20,,,18,8
963,175,,,18,9
964,38,,,18,10
965,44,,,18,11
966,24,,,18,12
967,333,7.0,0.0,18,13
968,46,,,18,14
969,96,7.0,0.0,18,15
970,15,,,18,16
971,62,4.0,0.2,18,17
972,20,2.0,0.5,18,18
973,34,1.0,1.0,18,19
974,290,6.857142857142857,0.14285714285714285,18,20
975,77,6.0,0.2,18,21
976,24,4.666666666666667,0.5,18,22
977,49,6.0,0.25,18,23
978,26,5.5,0.5,18,24
979,14,7.0,0.0,18,25
980,28,7.0,0.0,18,26
981,34,0.0,1.0,18,27
982,48,,,18,28
983,82,4.666666666666667,0.3333333333333333,18,29
984,249,7.0,0.0,18,30
985,34,3.5,0.5,18,31
986,38,,,18,32
987,81,,,18,33
988,292,4.666666666666667,0.3333333333333333,18,34
989,68,,,18,35
990,31,7.0,0.0,18,36
991,270,7.0,0.0,18,37
992,374,7.0,0.0,18,38
993,1616,4.6,0.25,18,39
994,63,,,18,40
995,76,,,18,41
996,108,,,18,42
997,28,,,18,43
998,42,,,18,44
999,21,,,18,45
1000,167,7.0,0.0,18,46
1001,68,2.0,1.0,18,47
1002,166,4.0,0.5,18,48
1003,12,,,18,49
1004,72,,,18,50
1005,56,,,18,51
1006,161,7.0,0.0,18,52
