,steps,long
219,23,0.5
220,19,1.0
221,33,1.0
222,225,0.0
223,213,0.5
224,118,0.8666666666666667
225,37,1.0
226,47,1.0
227,188,0.6666666666666666
228,25,0.4
229,29,1.0
230,48,0.25
231,13,1.0
232,17,1.0
233,25,0.6
234,19,0.6666666666666666
235,33,1.0
236,225,0.5
237,26,0.2
238,27,1.0
239,25,0.5
240,41,1.0
241,303,0.0
242,33,1.0
243,33,0.5
244,1085,0.5
245,39,1.0
246,230,1.0
247,51,1.0
248,124,0.2222222222222222
249,34,1.0
250,17,1.0
251,18,1.0
252,19,1.0
253,895,0.2
254,60,0.5
255,15,1.0
256,48,1.0
257,17,0.5
258,53,0.7272727272727273
259,37,1.0
260,37,0.75
261,23,1.0
262,29,0.0
263,1142,0.5
264,23,1.0
265,17,1.0
266,27,0.5
267,27,0.5
268,25,1.0
269,27,1.0
270,39,0.5
271,69,1.0
272,25,1.0
273,27,1.0
274,39,0.6666666666666666
275,29,1.0
276,19,0.5
277,96,0.2222222222222222
278,41,0.14285714285714285
279,13,1.0
280,67,0.6666666666666666
281,39,0.8333333333333334
282,89,0.0
283,73,0.75
284,11,1.0
285,75,0.2857142857142857
286,19,1.0
287,81,0.3333333333333333
288,207,0.5
289,17,1.0
290,13,1.0
291,67,1.0
292,11,1.0
293,79,0.0
294,13,1.0
295,11,1.0
296,248,0.0
297,27,1.0
298,27,1.0
299,11,1.0
300,83,1.0
301,23,1.0
302,53,0.6666666666666666
303,7,0.0
304,41,0.8
305,33,0.5
306,41,0.75
307,13,1.0
308,26,0.75
309,75,0.7272727272727273
310,47,0.3333333333333333
311,57,0.75
312,11,1.0
313,61,0.6
314,17,1.0
315,232,0.125
316,82,1.0
317,36,1.0
318,59,0.3333333333333333
319,27,0.75
320,53,0.8571428571428571
